epoch,time,lr,train_loss,validation_loss
0,383.47873997688293,0.001,0.04635304856326496,0.01792969133116697
1,269.7269432544708,0.001,0.016235990547820142,0.010920302795344278
2,281.36994314193726,0.001,0.01301030218274447,0.008484270129548875
3,269.55312848091125,0.001,0.011491808648172178,0.007102498980729203
4,278.4072012901306,0.001,0.01054701387163317,0.006397944531942669
5,289.6449761390686,0.001,0.009974064485153608,0.005939692552936704
6,285.7952284812927,0.001,0.009614064881022562,0.0056818492808624315
7,274.36023473739624,0.001,0.009308223792335443,0.005522302547959905
8,271.40709805488586,0.001,0.009075883563542575,0.0051847009821549845
9,267.2458527088165,0.001,0.008860282845010883,0.005010869035399274
10,265.65251183509827,0.001,0.008766606172317998,0.004819085576424473
11,289.8582534790039,0.001,0.008648126141021126,0.00467669716300933
12,274.55867528915405,0.001,0.00835464844120699,0.004532138302334045
13,265.6134366989136,0.001,0.00827053730098302,0.004425150048183768
14,266.1591696739197,0.001,0.008155855047924999,0.0043514082453360685
15,266.00908637046814,0.001,0.008130776606042656,0.004289156156837156
16,264.15739607810974,0.001,0.008015631984004326,0.0041885610522800374
17,264.04986906051636,0.001,0.007972025345161296,0.004157121550585879
18,267.13682222366333,0.001,0.007917591795455991,0.004326553598634507
19,267.4866027832031,0.001,0.00786627035816772,0.004071888930507396
20,268.2759699821472,0.001,0.0078610062860606,0.0040141729834048375
21,267.0635004043579,0.001,0.0077610551788095845,0.003958509156578465
22,264.2624454498291,0.001,0.007824521756878025,0.003961928715733321
23,263.6553997993469,0.001,0.007656428382911703,0.0038586751876496955
24,275.86368131637573,0.001,0.007620298989901417,0.0038100616075098515
25,308.95505118370056,0.001,0.007599514917258108,0.0038245127438322492
26,280.05463194847107,0.001,0.007543851311008136,0.003867547101292171
27,282.80853748321533,0.001,0.007609884793821134,0.003759118569034495
28,280.77897334098816,0.001,0.007491046660824826,0.0037138164411053844
29,266.27174139022827,0.001,0.007503640886984374,0.0037875770052012646
30,266.63266611099243,0.001,0.007489873717228572,0.003703025145162093
31,279.0768053531647,0.001,0.007480146069275706,0.0036880302389985637
32,273.31970977783203,0.001,0.007441451879250899,0.0036530102799205402
33,271.5349564552307,0.001,0.007475353679374645,0.0037831238250395187
34,276.17347860336304,0.001,0.007393167664607366,0.003651026918209697
35,280.72138714790344,0.001,0.007443445791866173,0.0036189490439076173
36,273.3581745624542,0.001,0.00749762298277857,0.0041799685109014575
37,278.2437210083008,0.001,0.007392473004170154,0.003625645620846435
38,289.62948632240295,0.001,0.007335996165414129,0.003677311622978825
39,264.64638352394104,0.001,0.00736279391863367,0.0035678896636359
40,262.6188292503357,0.001,0.007339586577329196,0.0035825963744795636
41,266.4835298061371,0.001,0.007308193841916427,0.0035515352838525645
42,257.8035614490509,0.001,0.0073118300193495914,0.0036996094460942245
43,266.7074089050293,0.001,0.007295699667577681,0.0036175192554334275
44,267.1678259372711,0.001,0.007334284819335791,0.003517252417575372
45,264.99404406547546,0.001,0.00726886276613202,0.003539814858844406
46,263.17899775505066,0.001,0.007301139481888528,0.00354073440509015
47,263.95688128471375,0.001,0.007264156989230399,0.003520356699530231
48,267.44134855270386,0.001,0.007221799597078771,0.003524445806090769
49,261.3538658618927,0.001,0.007273019495697921,0.003555064493986337
50,267.31366300582886,0.001,0.007230027055923353,0.003473881092902861
51,290.42881774902344,0.001,0.0072910095597699025,0.003503355871591913
52,263.77666878700256,0.001,0.007211318068010242,0.003532035962531441
53,266.07123255729675,0.001,0.007190323304058167,0.003481547789354073
54,266.91898465156555,0.001,0.007314543362314764,0.0034710971614051807
55,300.5752294063568,0.001,0.007166151455685235,0.003448335294562735
56,300.35300612449646,0.001,0.007170115164562799,0.003442956342999088
57,291.4792776107788,0.001,0.007194587258262592,0.0034620531614085563
58,286.65971541404724,0.001,0.007179938109689637,0.0034406338450743965
59,276.8347532749176,0.001,0.007212868107384757,0.0034855700367571493
60,271.3330352306366,0.001,0.007167691781528686,0.0035202350639002887
61,270.1060383319855,0.001,0.007162867424388726,0.003434612354459731
62,271.15439653396606,0.001,0.007138503102683707,0.00358558795414865
63,274.05082058906555,0.001,0.007230750497495919,0.003433017158194592
64,312.47883772850037,0.001,0.007157712513090749,0.0034716742505368436
65,305.6147310733795,0.001,0.007143995683770953,0.003797088725198256
66,312.22157311439514,0.001,0.007160969339964683,0.0034075550195810044
67,292.48372316360474,0.001,0.00711826660686679,0.003453126655107266
68,291.9451551437378,0.001,0.007139086625293682,0.0034063187623886684
69,266.64500164985657,0.001,0.007180048977923498,0.0034042085815025004
70,276.49879574775696,0.001,0.007101506991475297,0.003458015228572645
71,275.38594245910645,0.001,0.007134806863113977,0.0035140463396122583
72,270.47881507873535,0.001,0.0071166652140387315,0.0034879514775974186
73,273.35133934020996,0.001,0.007163076898442549,0.003439304173776978
74,281.29239654541016,0.001,0.007103116341392722,0.003401482281716246
75,283.9658215045929,0.001,0.007123955313050956,0.003412245135558279
76,302.2257249355316,0.001,0.007110761217119401,0.003403952590336925
77,328.7579936981201,0.001,0.007086116698031363,0.0035038435782649016
78,289.726012468338,0.001,0.007131159934623723,0.0033902277018090614
79,276.37265825271606,0.001,0.0071068856897845605,0.0033779770846625694
80,277.475145816803,0.001,0.007081682638575633,0.003378392834412424
81,263.07721519470215,0.001,0.007088430332052603,0.0033895230337389207
82,269.06822443008423,0.001,0.007157113746200737,0.003372913937231428
83,270.97492384910583,0.001,0.00708213882324727,0.003392091890993087
84,266.304655790329,0.001,0.007069805677849473,0.0033750639199034162
85,272.58195543289185,0.001,0.007096709503808566,0.003708935195678159
86,270.7692015171051,0.001,0.007067650548394835,0.003386485954060366
87,276.6003432273865,0.001,0.007086074853871475,0.00339758511338579
88,281.0160274505615,0.001,0.007055791250119607,0.003356928545001306
89,291.3205077648163,0.001,0.007077926557445735,0.0034329282659056938
90,277.34019947052,0.001,0.007049750716409139,0.0033609662082438405
91,264.7805030345917,0.001,0.007071761855561482,0.003511645132675767
92,267.5754871368408,0.001,0.007113833715649028,0.0033599493632975375
93,268.3409688472748,0.001,0.00703069182080135,0.0033649008377994363
94,264.5394375324249,0.001,0.007101746913241713,0.0033485983424869025
95,265.6741096973419,0.001,0.007028454694112665,0.0034632393600125063
96,269.91082882881165,0.001,0.0070376611445425894,0.0033936473099808943
