epoch,time,lr,train_loss,validation_loss,discriminator_losses
0,377.0333094596863,0.0002,0.009845782788916903,0.007328313244860383,0.07045578940021613
1,377.2068543434143,0.0002,0.007456276198198681,0.006885501214220554,0.0002412643580190095
2,376.9858741760254,0.0002,0.0071257007176796314,0.005908112041652203,0.1118646110815852
3,376.72479343414307,0.0002,0.0069563359499329085,0.006191340531517244,0.00014736212594314293
4,377.2946391105652,0.0002,0.006773864948971701,0.00577129671185077,6.283637759956656e-05
5,377.1525959968567,0.0002,0.006642626309023597,0.005689191407983816,3.9121727576001475e-05
6,377.221253156662,0.0002,0.006550289625799115,0.005329646721270077,2.6871313130080097e-05
7,377.15732979774475,0.0002,0.00644367617445073,0.005398631756064258,0.041640287628281904
8,377.1846785545349,0.0002,0.006398682149632072,0.005219352577482881,0.00011442179308968324
9,377.3297884464264,0.0002,0.006334258703809994,0.005299698602691104,3.254880544234652e-05
10,377.22402143478394,0.0002,0.006279642126014959,0.005583388041233337,2.1826924651264004e-05
11,377.3982081413269,0.0002,0.0062319914325691715,0.005113678938662044,1.6038436885718996e-05
12,377.4831054210663,0.0002,0.0062039833296018065,0.005111780418436738,1.1387136162291086e-05
13,377.3720440864563,0.0002,0.006148620802575881,0.005178463430132104,1.1165766785456257e-05
14,377.26603984832764,0.0002,0.006151582288866532,0.005007616120473116,5.5472613571098014e-06
15,377.2364695072174,0.0002,0.006091795999237377,0.005262361249968975,1.2111704731534742e-05
16,377.3025619983673,0.0002,0.006038497023789657,0.00534862194422491,0.08261942455213593
17,377.17157220840454,0.0002,0.006064501111582743,0.005113424350142102,3.0467153398420432e-05
18,377.29892921447754,0.0002,0.006029255538888831,0.005411131056968736,0.012425322012220892
19,377.3083825111389,0.0002,0.006000347826647112,0.005291192798250461,3.803846683606282e-05
20,377.08527302742004,0.0002,0.005972640925394724,0.0054717502804308,0.0002810886577052363
21,376.9753942489624,0.0002,0.005958356599574669,0.005347038813736997,0.012487730529599192
22,376.99874997138977,0.0002,0.005959963602297191,0.005110030074285556,1.2101988440359569e-05
23,377.0057256221771,0.0002,0.005936405329680006,0.005509374636708747,0.01538766960984841
24,376.7486460208893,0.0002,0.005917692388855349,0.0048001827259512644,0.0035279932388961217
25,376.77078676223755,0.0002,0.005893049034348094,0.00494688277315537,4.12917217751612e-05
26,376.17052268981934,0.0002,0.005891817733861622,0.004937179084525361,3.6155981355553625e-06
27,376.3882133960724,0.0002,0.005870858908632323,0.0051570129580795765,1.8924772339788569e-06
