epoch,time,lr,train_loss,validation_loss
0,290.34804487228394,0.00025075000000000005,0.06738611858870741,0.019516959393429272
1,290.4887731075287,0.0005005000000000001,0.006565031344421198,0.0047080590997989466
2,290.40180563926697,0.0007502500000000002,0.004616011657486706,0.0046132314987911305
3,290.233402967453,0.001,0.004682102278096105,0.00454494507574191
4,290.02521562576294,0.0007502500000000002,1.0871152602543158e+20,924976629029538.8
5,290.17843222618103,0.0005005000000000001,795811002606929.8,686417562537865.6
6,290.0940556526184,0.00025075000000000005,611519833981490.0,552148919857365.06
7,290.14271306991577,1e-06,506070157883710.8,472488695303126.56
8,290.0811426639557,0.00025075000000000005,468138205256106.9,471554771500014.25
9,290.1777038574219,0.0005005000000000001,412575985994533.1,366844065335994.44
10,290.09472727775574,0.0007502500000000002,279512819148502.78,197680901896440.6
11,290.0320088863373,0.001,428067105464039.0,171696724042722.4
12,289.8968801498413,0.0007502500000000002,87764173470922.64,40544408200351.81
13,289.922340631485,0.0005005000000000001,27334331238513.477,17696457599532.395
14,290.19481229782104,0.00025075000000000005,12968676868744.443,9689522365789.225
15,290.0870449542999,1e-06,7984832518052.137,6953887028312.786
16,290.006276845932,0.00025075000000000005,6679582116299.314,6947135730824.139
17,290.1144664287567,0.0005005000000000001,5345632625526.206,4528635988855.861
18,290.17798113822937,0.0007502500000000002,3494033404671.3247,3123393164518.8438
19,290.2468011379242,0.001,2622353869432.2324,2411227084764.4854
20,290.2624309062958,0.0007502500000000002,2073906912437.0237,1886970770094.6128
21,290.252970457077,0.0005005000000000001,1680787692768.2534,1551154163925.0867
22,290.30724573135376,0.00025075000000000005,1404148537295.3667,1321256933009.0173
23,290.272686958313,1e-06,1229650963085.847,1187170098584.4163
24,290.1702706813812,0.00025075000000000005,1158249352924.2004,1186741979929.156
25,290.1207528114319,0.0005005000000000001,1055142247669.868,968772094934.5665
26,290.2555115222931,0.0007502500000000002,753977479438.1847,596709948019.422
27,290.20711970329285,0.001,403939441477.5726,270833993005.87283
28,290.33683490753174,0.0007502500000000002,163072500117.27704,97437615334.84393
29,290.3927631378174,0.0005005000000000001,70362116148.68602,53814196129.2948
30,290.2473952770233,0.00025075000000000005,44813866848.59103,38997108191.44508
31,290.2346782684326,1e-06,34906066203.69393,32724871984.83237
32,290.2772526741028,0.00025075000000000005,31829801829.994724,32696386518.566475
33,290.2927052974701,0.0005005000000000001,27530463202.279682,24001177771.65318
34,290.36595940589905,0.0007502500000000002,17085744779.145119,12488003240.693642
35,290.22785568237305,0.001,8219726421.108179,5765663169.849711
36,290.1829741001129,0.0007502500000000002,4104922492.453826,3277121803.8381505
37,290.1833939552307,0.0005005000000000001,2815949511.430079,2559370632.8786125
38,290.20672631263733,0.00025075000000000005,2287902217.794195,2141326901.2716763
39,290.2925503253937,1e-06,2019493221.4881268,1941253897.6184971
40,290.22588539123535,0.00025075000000000005,1916751581.7203166,1934354618.450867
41,290.25456619262695,0.0005005000000000001,1788148193.2664907,1732570581.0867052
42,290.1575348377228,0.0007502500000000002,1434003973.9947228,2886048389.919075
43,290.11504578590393,0.001,1295076016.6332455,2172441595.5606937
44,290.0786290168762,0.0007502500000000002,3.1128190870393465e+21,8.375265055987043e+17
45,290.1913321018219,0.0005005000000000001,7.083789171443555e+17,6.132282471528379e+17
46,290.1982355117798,0.00025075000000000005,5.6732555608785274e+17,5.207179525152156e+17
47,290.2014446258545,1e-06,4.985928177167384e+17,4.7254446704080314e+17
48,290.23857045173645,0.00025075000000000005,4.739017406012405e+17,4.7229097658140915e+17
49,290.2583255767822,0.0005005000000000001,4.3588181539692794e+17,3.9751378869539437e+17
50,290.18083477020264,0.0007502500000000002,3.319145867256248e+17,2.7629745947494227e+17
51,290.2527539730072,0.001,2.207087467108592e+17,1.761722442270941e+17
52,290.26695466041565,0.0007502500000000002,1.3991864343448054e+17,1.1150841871283298e+17
53,290.17188906669617,0.0005005000000000001,9.628219655725371e+16,8.374202905609461e+16
54,290.1546905040741,0.00025075000000000005,7.538816669717917e+16,8.482242035839283e+16
55,290.12195229530334,1e-06,6.530047260962805e+16,6.202953418542493e+16
56,290.2136776447296,0.00025075000000000005,6.160937663887074e+16,6.184067111681631e+16
57,290.1599533557892,0.0005005000000000001,5.694184335669809e+16,5.2676069044100696e+16
58,290.2124972343445,0.0007502500000000002,6.119020633087114e+16,4.231349145567383e+16
59,290.23257970809937,0.001,4.5034499835988424e+16,3.2962336212310028e+16
60,290.03432869911194,0.0007502500000000002,4.0885081566031864e+16,2.702908097511784e+16
61,290.15334486961365,0.0005005000000000001,2.0390966162697884e+16,1.881084087184106e+16
62,290.246794462204,0.00025075000000000005,1.5173418955676334e+16,1.3221699627794716e+16
63,290.2078161239624,1e-06,1.2338345671052286e+16,1.151247775079643e+16
64,290.3314983844757,0.00025075000000000005,1.1387182640060454e+16,1.1353199217574078e+16
65,290.16301822662354,0.0005005000000000001,1.0719235177229548e+16,5.218665569598106e+16
66,290.18165707588196,0.0007502500000000002,1.7059376850194788e+16,4597227630394445.0
67,290.2873947620392,0.001,3023471855608780.5,1835734301003184.0
68,290.2240045070648,0.0007502500000000002,1059690634995458.0,534182993105914.06
69,290.17929911613464,0.0005005000000000001,388960124192751.8,298516245143220.56
70,290.14269638061523,0.00025075000000000005,255771273063010.62,219786693976206.06
71,290.2064599990845,1e-06,201867399637040.62,185890448796109.7
72,290.23919010162354,0.00025075000000000005,184301557689579.06,185666653826716.84
73,290.24584341049194,0.0005005000000000001,161320057032887.72,139724036766228.72
74,290.44346261024475,0.0007502500000000002,103777395622277.06,76757205725397.1
75,290.4468605518341,0.001,54094901275234.62,38163778551902.7
76,290.42930603027344,0.0007502500000000002,26600773210900.938,18707783464450.96
77,290.39108514785767,0.0005005000000000001,14878244717365.361,11382393703950.797
78,290.3913903236389,0.00025075000000000005,9483988678239.916,7853302808954.821
79,290.2532138824463,1e-06,6986154936087.642,6187399348413.41
80,290.3350040912628,0.00025075000000000005,6176853531569.646,6173247492451.145
81,290.1561496257782,0.0005005000000000001,5151727755890.828,4269607986998.7515
82,289.9265224933624,0.0007502500000000002,3093142413506.533,2288598468738.2197
83,290.00374245643616,0.001,1665129681295.8733,1290007754432.3699
84,290.0672297477722,0.0007502500000000002,824469256835.0396,576406935942.6589
85,290.1320502758026,0.0005005000000000001,473680603616.9288,390918948236.57806
86,290.12726855278015,0.00025075000000000005,341738742062.6069,304840444791.86127
87,290.28273916244507,1e-06,270765449637.48813,246210740129.2948
88,290.3356750011444,0.00025075000000000005,243556642124.32718,245342727173.91907
89,290.30900716781616,0.0005005000000000001,212920407982.94458,196128601318.84393
90,290.34164357185364,0.0007502500000000002,150060390178.44855,168240077238.01157
91,290.2648684978485,0.001,91671051709.80475,70710662943.07515
92,290.2085237503052,0.0007502500000000002,129022757744.80211,28295126767.72254
93,290.38340282440186,0.0005005000000000001,23106458194.406334,19638983591.21387
94,290.2634987831116,0.00025075000000000005,17429766295.978893,14989317830.289017
95,290.21449875831604,1e-06,14628570471.345646,13208218020.254335
96,290.24768805503845,0.00025075000000000005,13645039421.467018,13165803058.31214
97,290.2752914428711,0.0005005000000000001,12367822207.66227,10710673180.115606
98,290.2693660259247,0.0007502500000000002,9027553697.435356,7200693419.653179
99,290.1483430862427,0.001,5967615436.327177,4522399044.069365
