epoch,time,lr,train_loss,validation_loss
0,454.114581823349,0.0009960612933065818,0.04571515601026221,0.00488657414319873
1,453.96082949638367,0.0009843072889837514,0.004950343961051355,0.004462387448833868
2,454.0571002960205,0.000964923354701182,0.004560647539492173,0.0044234367837978125
3,453.8763036727905,0.0009382151866819102,0.004509838900803888,0.004360764061081871
4,453.5998547077179,0.0009046039886902867,0.004475493061836885,0.0042978777933681414
5,453.36350321769714,0.0008646198293969955,0.0044711524631204464,0.0043002362983528206
6,453.08117151260376,0.0008188932828794708,0.004474060692993259,0.004472760531193279
7,452.8600974082947,0.000768145484092009,0.004493280478320166,0.004493505071711533
8,452.24315333366394,0.0007131767561367541,0.00450846615141225,0.004346858681980898
9,451.8364791870117,0.0006548539886902865,0.004508202148694,0.004359751900180531
10,451.351904630661,0.0005940969666355698,0.0045004420406906725,0.004339510012065831
11,449.58039927482605,0.0005318638645048923,0.004493962302606564,0.004362605812340067
12,446.66885328292847,0.0004691361354951082,0.004483433760810175,0.004321867155104989
13,443.5139183998108,0.00040690303336443076,0.004475329371001735,0.004327230881143191
14,442.448748588562,0.0003461460113097141,0.004468882834941846,0.004324048762871567
15,441.38616275787354,0.00028782324386324637,0.004463393695425101,0.004323420120429172
16,440.6955282688141,0.00023285451590799116,0.00446069053471584,0.004317547134383756
17,440.65138244628906,0.00018210671712052954,0.004455682673669905,0.004316457159590298
18,440.4378328323364,0.0001363801706030051,0.004451943426127464,0.004312534404086507
19,440.19049286842346,9.639601130971386e-05,0.004449411489039507,0.004305036586938605
20,439.97801876068115,6.278481331809018e-05,0.0044477779189484165,0.004303824244572918
21,439.8710684776306,3.607664529881847e-05,0.0044460077875577,0.004305409431826266
22,439.4310677051544,1.669271101624884e-05,0.00444515719356244,0.004302678974865354
23,439.0225028991699,4.938706693418358e-06,0.004443792778929172,0.004301403975941543
24,438.6438157558441,1e-06,0.004443541689291161,0.004301142685592818
